景点名称;地点;景点级别;热度;口碑;标签;评论
----------------------------------------
万科松花湖度假区;万科松花湖滑雪度假区·距市中心18.1km;4A;6.5;吉林市玩水避暑榜 No.1;山地主题度假区,度假村;501条点评
松花湖滑雪场;万科松花湖滑雪度假区·距市中心19.1km;#;6.4;2025亚洲50滑雪景点;风景优美的滑雪胜地,遛娃宝藏地;586条点评
北大湖滑雪度假区;北大湖滑雪度假区·距市中心47.9km;4A;6.0;2025亚洲50滑雪景点;地势优越的优质滑雪场,度假村;317条点评
吉林松花湖风景名胜区;松花湖度假区·距市中心17.0km;4A;6.0;吉林市玩水避暑榜 No.2;赏沿岸秀丽湖光山色,避暑纳凉;897条点评
雾凇岛;吉林雾凇岛·距市中心33.1km;#;5.5;#;中国知名雾凇观赏胜地,岛屿漫步;947条点评
北山公园;东北电力大学·距市中心1.8km;4A;4.8;吉林市赏花踏青景点榜 No.2;峰峦叠翠的古建筑园林,夜游观景;406条点评
世纪广场;北华大学/医药学院·距市中心1.4km;#;4.8;#;赏松花江及两岸风光好去处,地标观景;112条点评
吉林市博物馆;北华大学/医药学院·距市中心1.4km;4A;4.8;#;文化艺术气息浓厚,博物馆;77条点评
松花江;东北电力大学·距市中心2.0km;#;4.7;吉林市玩水避暑榜 No.3;如一条绿色飘带横贯全城,避暑纳凉;304条点评
红石国家森林公园;桦甸·距市中心>100km;4A;4.6;#;拥有丰富的野生菌类,自然山水;58条点评
朱雀山国家森林公园;距市中心12.7km;4A;4.6;吉林市赏花踏青景点榜 No.3;动植物资源丰富的森林公园,登高爬山;101条点评
吉林天主教堂;火车站·距市中心1.2km;#;4.5;#;建于清朝、历史悠久,夜游观景;51条点评
神农温泉度假村;距市中心25.5km;4A;4.4;#;满族风情主题温泉度假村,度假村;238条点评
雾凇长廊;距市中心12.4km;#;4.3;#;城市漫步;3条点评
拉法山国家森林公园;蛟河·距市中心69.2km;4A;4.2;蛟河赏花踏青景点榜 No.1;天然岩洞众多的森林公园,登高爬山;212条点评
炮台山;火车站·距市中心2.2km;#;4.2;#;东北知名道教圣地,历史建筑;60条点评
鸣山绿洲滑雪场;距市中心10.8km;#;4.1;#;市区内的绿色生态雪场,遛娃宝藏地;50条点评
吉林陨石雨博物馆;北华大学/医药学院·距市中心1.4km;#;4.1;#;博物馆;8条点评
蛟河红叶谷;蛟河·距市中心44.2km;#;4.1;#;金秋漫山红叶观赏地,自然山水;151条点评
吉林市满族博物馆;东北电力大学·距市中心972m;#;4.1;#;清朝特色的满汉融合建筑,博物馆;22条点评
