景点名称;地点;景点级别;热度;口碑;标签;评论
----------------------------------------
望仙谷;上饶 · 望仙谷景区;4A;9.2;2025亚洲100必打卡景点;避暑纳凉;1.5万条点评
婺源风景区;婺源 · 婺女洲度假区;#;8.9;2025全球50赏花踏青景点;在徽派古村赏梯田花海,遛娃宝藏地;5253条点评
婺源篁岭;婺源 · 篁岭度假区;5A;8.9;2025全球50赏花踏青景点;高岭梯田花海,遛娃宝藏地;1.6万条点评
滕王阁;南昌 · 滕王阁/万寿宫;5A;8.7;2025全球100夜游景点;遛娃宝藏地;2.2万条点评
庐山风景名胜区;庐山 · 庐山山上;5A;8.6;2025中国100必打卡景点;匡庐奇秀甲天下,避暑纳凉;1.5万条点评
三清山风景区;玉山;5A;8.5;2025中国50赏花踏青景点;道教名山,避暑纳凉;1.5万条点评
婺女洲度假区;婺源 · 婺女洲度假区;#;8.4;2025中国100夜游景点;度假村;4031条点评
景德镇陶阳里历史文化旅游区;景德镇 · 人民广场/陶阳里景区;4A;8.1;江西亲子景点榜 No.3;有丰富的明清御窑遗迹,历史建筑;4516条点评
萍乡武功山风景区;芦溪;5A;8.1;2025中国100必打卡景点;露营观日出云海,遛娃宝藏地;8284条点评
江西武功山国家风景名胜区;芦溪;#;8.1;武功山亲子景点榜 No.1;地跨萍乡、宜春、吉安三市,登高爬山;35条点评
南昌汉代海昏侯国遗址公园;南昌;4A;7.9;南昌必打卡景点榜 No.2;千年侯国 传奇海昏,遛娃宝藏地;2155条点评
景德镇古窑民俗博览区;景德镇 · 古窑民俗博览区/中国陶瓷博物馆;5A;7.7;江西亲子景点榜 No.6;造访四朝古窑,遛娃宝藏地;7489条点评
景德镇中国陶瓷博物馆;景德镇 · 古窑民俗博览区/中国陶瓷博物馆;#;7.7;江西亲子景点榜 No.7;大型陶瓷专题艺术博物馆,博物馆;895条点评
龙虎山风景区;贵溪;5A;7.5;2025中国50玩水避暑景点;千古悬棺之谜,清凉漂流;6051条点评
江西省博物馆(新馆);南昌 · 红谷滩万达/秋水广场;#;7.4;南昌必打卡景点榜 No.3;观赏江西古代青铜瓷器,博物馆;1291条点评
葛仙村度假区;铅山;4A;7.4;2025中国100夜游景点;道家仙境，融合道家的文化,度假村;2295条点评
南昌之星摩天轮;南昌 · 万象城/前湖大学城;#;7.3;南昌必打卡景点榜 No.4;颇具浪漫气息的地标之一,遛娃宝藏地;2053条点评
南昌舰;南昌 · 红谷滩万达/秋水广场;#;7.2;南昌必打卡景点榜 No.5;遛娃宝藏地;665条点评
江南宋城历史文化旅游区;赣州 · 江南宋城/步步高新天地;4A;7.1;江西夜游必打卡景点榜 No.7;夜游观景;523条点评
李坑景区;婺源 · 李坑度假区;4A;7.0;江西亲子景点榜 No.12;欣赏小桥流水的徽派景象,避暑纳凉;2529条点评
宜春明月山旅游区;宜春 · 明月山上;5A;7.0;宜春玩水避暑榜 No.1;山势呈半轮明月状,登高爬山;3388条点评
赣州方特东方欲晓;赣州 · 方特东方欲晓/通天岩;#;6.8;赣州亲子景点榜 No.1;嗨玩乐园;3579条点评
南昌融创乐园;南昌 · 南昌绿地国际博览中心/南昌国际体育中心;4A;6.8;南昌亲子景点榜 No.5;三大过山车刺激体验,遛娃宝藏地;7512条点评
龟峰风景名胜区;弋阳;5A;6.8;弋阳玩水避暑榜 No.1;典型的丹霞地貌,自然山水;994条点评
